cty_rgn_no,cty_rgn_name,age,sex,card_tpbuz_nm_1,amt,rank
41111,수원시 장안구,20대,F,소매/유통,377842314,1
41111,수원시 장안구,20대,F,식사,238156550,2
41111,수원시 장안구,20대,F,생활서비스,213312712,3
41111,수원시 장안구,20대,F,디저트,141209454,4
41111,수원시 장안구,20대,F,의료/건강,71778540,5
41111,수원시 장안구,20대,M,소매/유통,422469000,1
41111,수원시 장안구,20대,M,식사,340501028,2
41111,수원시 장안구,20대,M,생활서비스,196436053,3
41111,수원시 장안구,20대,M,여가/오락,123360008,4
41111,수원시 장안구,20대,M,디저트,107300527,5
41111,수원시 장안구,30대,F,소매/유통,11140355470,1
41111,수원시 장안구,30대,F,생활서비스,9403483155,2
41111,수원시 장안구,30대,F,식사,5675069307,3
41111,수원시 장안구,30대,F,의료/건강,3926096133,4
41111,수원시 장안구,30대,F,디저트,2464920795,5
41111,수원시 장안구,30대,M,소매/유통,15488736517,1
41111,수원시 장안구,30대,M,식사,12130511202,2
41111,수원시 장안구,30대,M,생활서비스,10957475314,3
41111,수원시 장안구,30대,M,의료/건강,3039510129,4
41111,수원시 장안구,30대,M,여가/오락,2971571874,5
41111,수원시 장안구,40대,F,소매/유통,22737244947,1
41111,수원시 장안구,40대,F,생활서비스,17058253855,2
41111,수원시 장안구,40대,F,의료/건강,9925251851,3
41111,수원시 장안구,40대,F,식사,7968089331,4
41111,수원시 장안구,40대,F,디저트,3469031059,5
41111,수원시 장안구,40대,M,소매/유통,30568586325,1
41111,수원시 장안구,40대,M,생활서비스,25541552229,2
41111,수원시 장안구,40대,M,식사,14593797868,3
41111,수원시 장안구,40대,M,의료/건강,7598391071,4
41111,수원시 장안구,40대,M,디저트,3449587562,5
41111,수원시 장안구,50대,F,소매/유통,33114966977,1
41111,수원시 장안구,50대,F,생활서비스,18736455345,2
41111,수원시 장안구,50대,F,의료/건강,15104426611,3
41111,수원시 장안구,50대,F,식사,13460400287,4
41111,수원시 장안구,50대,F,디저트,4306805859,5
41111,수원시 장안구,50대,M,소매/유통,38448347812,1
41111,수원시 장안구,50대,M,생활서비스,29587897809,2
41111,수원시 장안구,50대,M,식사,19961956761,3
41111,수원시 장안구,50대,M,의료/건강,14087035154,4
41111,수원시 장안구,50대,M,여가/오락,3916863282,5
41111,수원시 장안구,60대,F,소매/유통,40338521420,1
41111,수원시 장안구,60대,F,의료/건강,19032383742,2
41111,수원시 장안구,60대,F,생활서비스,19003290451,3
41111,수원시 장안구,60대,F,식사,16156454112,4
41111,수원시 장안구,60대,F,디저트,4028415117,5
41111,수원시 장안구,60대,M,소매/유통,39843896428,1
41111,수원시 장안구,60대,M,생활서비스,30376015166,2
41111,수원시 장안구,60대,M,식사,23735450066,3
41111,수원시 장안구,60대,M,의료/건강,18794189769,4
41111,수원시 장안구,60대,M,여가/오락,4634724743,5
41111,수원시 장안구,70대,F,소매/유통,26447665799,1
41111,수원시 장안구,70대,F,의료/건강,12692681075,2
41111,수원시 장안구,70대,F,생활서비스,9567489790,3
41111,수원시 장안구,70대,F,식사,9154796704,4
41111,수원시 장안구,70대,F,전자상거래,2039818162,5
41111,수원시 장안구,70대,M,소매/유통,24050791336,1
41111,수원시 장안구,70대,M,생활서비스,17592717505,2
41111,수원시 장안구,70대,M,식사,13788767962,3
41111,수원시 장안구,70대,M,의료/건강,12663724922,4
41111,수원시 장안구,70대,M,여가/오락,2402685899,5
41111,수원시 장안구,80대,F,소매/유통,8916127468,1
41111,수원시 장안구,80대,F,의료/건강,4876581005,2
41111,수원시 장안구,80대,F,식사,2792587759,3
41111,수원시 장안구,80대,F,생활서비스,1951519686,4
41111,수원시 장안구,80대,F,전자상거래,585444565,5
41111,수원시 장안구,80대,M,소매/유통,6911386893,1
41111,수원시 장안구,80대,M,의료/건강,4480155059,2
41111,수원시 장안구,80대,M,생활서비스,3963751915,3
41111,수원시 장안구,80대,M,식사,3497673260,4
41111,수원시 장안구,80대,M,여가/오락,431682182,5
41111,수원시 장안구,90대,F,소매/유통,2047358120,1
41111,수원시 장안구,90대,F,의료/건강,1372246926,2
41111,수원시 장안구,90대,F,식사,736125983,3
41111,수원시 장안구,90대,F,생활서비스,362991284,4
41111,수원시 장안구,90대,F,전자상거래,103618881,5
41111,수원시 장안구,90대,M,소매/유통,1670590014,1
41111,수원시 장안구,90대,M,의료/건강,1413070534,2
41111,수원시 장안구,90대,M,식사,871587151,3
41111,수원시 장안구,90대,M,생활서비스,599096175,4
41111,수원시 장안구,90대,M,전자상거래,161172459,5
41113,수원시 권선구,20대,F,소매/유통,369456750,1
41113,수원시 권선구,20대,F,식사,123652828,2
41113,수원시 권선구,20대,F,디저트,106262702,3
41113,수원시 권선구,20대,F,의료/건강,49510324,4
41113,수원시 권선구,20대,F,생활서비스,26353295,5
41113,수원시 권선구,20대,M,소매/유통,373321663,1
41113,수원시 권선구,20대,M,식사,173926984,2
41113,수원시 권선구,20대,M,디저트,90623108,3
41113,수원시 권선구,20대,M,생활서비스,87331343,4
41113,수원시 권선구,20대,M,여가/오락,78842817,5
41113,수원시 권선구,30대,F,소매/유통,22022325056,1
41113,수원시 권선구,30대,F,의료/건강,6130701715,2
41113,수원시 권선구,30대,F,식사,5664873242,3
41113,수원시 권선구,30대,F,생활서비스,4991380448,4
41113,수원시 권선구,30대,F,디저트,2873083782,5
41113,수원시 권선구,30대,M,소매/유통,26134070266,1
41113,수원시 권선구,30대,M,생활서비스,10585011596,2
41113,수원시 권선구,30대,M,식사,9982703589,3
41113,수원시 권선구,30대,M,의료/건강,4573562735,4
41113,수원시 권선구,30대,M,디저트,3279119599,5
41113,수원시 권선구,40대,F,소매/유통,58558118302,1
41113,수원시 권선구,40대,F,의료/건강,20872660650,2
41113,수원시 권선구,40대,F,생활서비스,15004153404,3
41113,수원시 권선구,40대,F,식사,12656096618,4
41113,수원시 권선구,40대,F,디저트,6161302996,5
41113,수원시 권선구,40대,M,소매/유통,76565568710,1
41113,수원시 권선구,40대,M,생활서비스,31848265271,2
41113,수원시 권선구,40대,M,식사,24191509692,3
41113,수원시 권선구,40대,M,의료/건강,16694048164,4
41113,수원시 권선구,40대,M,디저트,6710628450,5
41113,수원시 권선구,50대,F,소매/유통,76540580499,1
41113,수원시 권선구,50대,F,의료/건강,25384739734,2
41113,수원시 권선구,50대,F,생활서비스,19104408005,3
41113,수원시 권선구,50대,F,식사,17624117400,4
41113,수원시 권선구,50대,F,디저트,8598640833,5
41113,수원시 권선구,50대,M,소매/유통,94940267024,1
41113,수원시 권선구,50대,M,생활서비스,41772459474,2
41113,수원시 권선구,50대,M,식사,32127261405,3
41113,수원시 권선구,50대,M,의료/건강,26605942925,4
41113,수원시 권선구,50대,M,디저트,8009760365,5
41113,수원시 권선구,60대,F,소매/유통,90712616319,1
41113,수원시 권선구,60대,F,의료/건강,26726595246,2
41113,수원시 권선구,60대,F,생활서비스,22383390500,3
41113,수원시 권선구,60대,F,식사,18773960857,4
41113,수원시 권선구,60대,F,디저트,7604389298,5
41113,수원시 권선구,60대,M,소매/유통,92872645289,1
41113,수원시 권선구,60대,M,생활서비스,44173929765,2
41113,수원시 권선구,60대,M,식사,31543349013,3
41113,수원시 권선구,60대,M,의료/건강,25440472367,4
41113,수원시 권선구,60대,M,여가/오락,6076040049,5
41113,수원시 권선구,70대,F,소매/유통,63253756425,1
41113,수원시 권선구,70대,F,의료/건강,17803450997,2
41113,수원시 권선구,70대,F,생활서비스,12694310757,3
41113,수원시 권선구,70대,F,식사,10614924284,4
41113,수원시 권선구,70대,F,디저트,4051022983,5
41113,수원시 권선구,70대,M,소매/유통,60582874746,1
41113,수원시 권선구,70대,M,생활서비스,31207463655,2
41113,수원시 권선구,70대,M,식사,18395108099,3
41113,수원시 권선구,70대,M,의료/건강,17651366989,4
41113,수원시 권선구,70대,M,여가/오락,3061378191,5
41113,수원시 권선구,80대,F,소매/유통,16523598330,1
41113,수원시 권선구,80대,F,의료/건강,5426977216,2
41113,수원시 권선구,80대,F,식사,2713214313,3
41113,수원시 권선구,80대,F,생활서비스,2473301225,4
41113,수원시 권선구,80대,F,디저트,833397901,5
41113,수원시 권선구,80대,M,소매/유통,16024419661,1
41113,수원시 권선구,80대,M,생활서비스,7076600964,2
41113,수원시 권선구,80대,M,의료/건강,6211910650,3
41113,수원시 권선구,80대,M,식사,3977367835,4
41113,수원시 권선구,80대,M,디저트,592647840,5
41113,수원시 권선구,90대,F,소매/유통,2789200818,1
41113,수원시 권선구,90대,F,의료/건강,1199165929,2
41113,수원시 권선구,90대,F,식사,562450551,3
41113,수원시 권선구,90대,F,생활서비스,444254979,4
41113,수원시 권선구,90대,F,디저트,127745896,5
41113,수원시 권선구,90대,M,소매/유통,2963632114,1
41113,수원시 권선구,90대,M,의료/건강,1530974852,2
41113,수원시 권선구,90대,M,식사,763368243,3
41113,수원시 권선구,90대,M,생활서비스,720361134,4
41113,수원시 권선구,90대,M,디저트,120631445,5
41115,수원시 팔달구,20대,F,식사,701634539,1
41115,수원시 팔달구,20대,F,소매/유통,665031423,2
41115,수원시 팔달구,20대,F,디저트,183248969,3
41115,수원시 팔달구,20대,F,의료/건강,125572506,4
41115,수원시 팔달구,20대,F,여가/오락,70670981,5
41115,수원시 팔달구,20대,M,식사,623919146,1
41115,수원시 팔달구,20대,M,소매/유통,451842000,2
41115,수원시 팔달구,20대,M,여가/오락,132982514,3
41115,수원시 팔달구,20대,M,디저트,114154340,4
41115,수원시 팔달구,20대,M,의료/건강,73865178,5
41115,수원시 팔달구,30대,F,식사,25209148186,1
41115,수원시 팔달구,30대,F,소매/유통,21441581001,2
41115,수원시 팔달구,30대,F,의료/건강,16245354655,3
41115,수원시 팔달구,30대,F,디저트,4898935805,4
41115,수원시 팔달구,30대,F,생활서비스,4028141596,5
41115,수원시 팔달구,30대,M,식사,35859867246,1
41115,수원시 팔달구,30대,M,소매/유통,23880968392,2
41115,수원시 팔달구,30대,M,의료/건강,11080283386,3
41115,수원시 팔달구,30대,M,여가/오락,5788599294,4
41115,수원시 팔달구,30대,M,디저트,4735424063,5
41115,수원시 팔달구,40대,F,의료/건강,34966260678,1
41115,수원시 팔달구,40대,F,식사,29199848739,2
41115,수원시 팔달구,40대,F,소매/유통,28461717716,3
41115,수원시 팔달구,40대,F,생활서비스,7787603022,4
41115,수원시 팔달구,40대,F,디저트,5212261926,5
41115,수원시 팔달구,40대,M,식사,48495925632,1
41115,수원시 팔달구,40대,M,소매/유통,35573170565,2
41115,수원시 팔달구,40대,M,의료/건강,26415141738,3
41115,수원시 팔달구,40대,M,생활서비스,10767705467,4
41115,수원시 팔달구,40대,M,여가/오락,8658609910,5
41115,수원시 팔달구,50대,F,의료/건강,43806724929,1
41115,수원시 팔달구,50대,F,소매/유통,36099664811,2
41115,수원시 팔달구,50대,F,식사,30287640855,3
41115,수원시 팔달구,50대,F,생활서비스,9355253221,4
41115,수원시 팔달구,50대,F,디저트,6372697987,5
41115,수원시 팔달구,50대,M,식사,38176067152,1
41115,수원시 팔달구,50대,M,소매/유통,37898807567,2
41115,수원시 팔달구,50대,M,의료/건강,37538532404,3
41115,수원시 팔달구,50대,M,생활서비스,13645335370,4
41115,수원시 팔달구,50대,M,여가/오락,5428001054,5
41115,수원시 팔달구,60대,F,의료/건강,49380094348,1
41115,수원시 팔달구,60대,F,소매/유통,45231493526,2
41115,수원시 팔달구,60대,F,식사,34105550466,3
41115,수원시 팔달구,60대,F,생활서비스,11802520383,4
41115,수원시 팔달구,60대,F,디저트,6746597049,5
41115,수원시 팔달구,60대,M,의료/건강,42297953024,1
41115,수원시 팔달구,60대,M,소매/유통,39507602143,2
41115,수원시 팔달구,60대,M,식사,36860370599,3
41115,수원시 팔달구,60대,M,생활서비스,14495241725,4
41115,수원시 팔달구,60대,M,여가/오락,5046881339,5
41115,수원시 팔달구,70대,F,소매/유통,35646686821,1
41115,수원시 팔달구,70대,F,의료/건강,33231363622,2
41115,수원시 팔달구,70대,F,식사,19237577585,3
41115,수원시 팔달구,70대,F,생활서비스,7106922523,4
41115,수원시 팔달구,70대,F,디저트,3483424885,5
41115,수원시 팔달구,70대,M,의료/건강,30865178909,1
41115,수원시 팔달구,70대,M,소매/유통,23075878522,2
41115,수원시 팔달구,70대,M,식사,19843791636,3
41115,수원시 팔달구,70대,M,생활서비스,9902661806,4
41115,수원시 팔달구,70대,M,여가/오락,3497697388,5
41115,수원시 팔달구,80대,F,의료/건강,13435719290,1
41115,수원시 팔달구,80대,F,소매/유통,13022792434,2
41115,수원시 팔달구,80대,F,식사,5929560467,3
41115,수원시 팔달구,80대,F,생활서비스,2115184406,4
41115,수원시 팔달구,80대,F,디저트,888517632,5
41115,수원시 팔달구,80대,M,의료/건강,13971896463,1
41115,수원시 팔달구,80대,M,소매/유통,7606186612,2
41115,수원시 팔달구,80대,M,식사,5572736281,3
41115,수원시 팔달구,80대,M,생활서비스,3070745064,4
41115,수원시 팔달구,80대,M,디저트,611533173,5
41115,수원시 팔달구,90대,F,의료/건강,3147062278,1
41115,수원시 팔달구,90대,F,소매/유통,2395790579,2
41115,수원시 팔달구,90대,F,식사,1174680066,3
41115,수원시 팔달구,90대,F,생활서비스,712466631,4
41115,수원시 팔달구,90대,F,디저트,135028811,5
41115,수원시 팔달구,90대,M,의료/건강,4478554607,1
41115,수원시 팔달구,90대,M,소매/유통,1962515904,2
41115,수원시 팔달구,90대,M,식사,1374849804,3
41115,수원시 팔달구,90대,M,생활서비스,733939370,4
41115,수원시 팔달구,90대,M,디저트,127398497,5
41117,수원시 영통구,20대,F,소매/유통,511666741,1
41117,수원시 영통구,20대,F,식사,376093013,2
41117,수원시 영통구,20대,F,디저트,218021362,3
41117,수원시 영통구,20대,F,의료/건강,126417562,4
41117,수원시 영통구,20대,F,여가/오락,61404985,5
41117,수원시 영통구,20대,M,식사,569285959,1
41117,수원시 영통구,20대,M,소매/유통,563869316,2
41117,수원시 영통구,20대,M,여가/오락,191146977,3
41117,수원시 영통구,20대,M,디저트,172897577,4
41117,수원시 영통구,20대,M,의료/건강,110542659,5
41117,수원시 영통구,30대,F,소매/유통,18469928280,1
41117,수원시 영통구,30대,F,식사,12508553405,2
41117,수원시 영통구,30대,F,의료/건강,12319708219,3
41117,수원시 영통구,30대,F,전자상거래,6204788130,4
41117,수원시 영통구,30대,F,디저트,4603922897,5
41117,수원시 영통구,30대,M,소매/유통,21479438686,1
41117,수원시 영통구,30대,M,식사,21008827851,2
41117,수원시 영통구,30대,M,의료/건강,9182767521,3
41117,수원시 영통구,30대,M,생활서비스,6638900072,4
41117,수원시 영통구,30대,M,전자상거래,5185962326,5
41117,수원시 영통구,40대,F,의료/건강,43319232859,1
41117,수원시 영통구,40대,F,소매/유통,42430753628,2
41117,수원시 영통구,40대,F,식사,20288756335,3
41117,수원시 영통구,40대,F,전자상거래,16440970440,4
41117,수원시 영통구,40대,F,생활서비스,12974753512,5
41117,수원시 영통구,40대,M,소매/유통,58644562179,1
41117,수원시 영통구,40대,M,식사,40495199782,2
41117,수원시 영통구,40대,M,의료/건강,35014488979,3
41117,수원시 영통구,40대,M,생활서비스,21085438565,4
41117,수원시 영통구,40대,M,전자상거래,19335941702,5
41117,수원시 영통구,50대,F,의료/건강,62840501403,1
41117,수원시 영통구,50대,F,소매/유통,57544769266,2
41117,수원시 영통구,50대,F,식사,25831865097,3
41117,수원시 영통구,50대,F,생활서비스,18299279715,4
41117,수원시 영통구,50대,F,전자상거래,12328368418,5
41117,수원시 영통구,50대,M,소매/유통,74704184743,1
41117,수원시 영통구,50대,M,의료/건강,66751583459,2
41117,수원시 영통구,50대,M,식사,50897395846,3
41117,수원시 영통구,50대,M,생활서비스,30838052697,4
41117,수원시 영통구,50대,M,전자상거래,11519513069,5
41117,수원시 영통구,60대,F,소매/유통,54026841648,1
41117,수원시 영통구,60대,F,의료/건강,53887601737,2
41117,수원시 영통구,60대,F,식사,22028667882,3
41117,수원시 영통구,60대,F,생활서비스,18515846642,4
41117,수원시 영통구,60대,F,전자상거래,11792998964,5
41117,수원시 영통구,60대,M,소매/유통,58864664033,1
41117,수원시 영통구,60대,M,의료/건강,58537467881,2
41117,수원시 영통구,60대,M,식사,41449666590,3
41117,수원시 영통구,60대,M,생활서비스,27012137362,4
41117,수원시 영통구,60대,M,디저트,7609943614,5
41117,수원시 영통구,70대,F,의료/건강,31062238515,1
41117,수원시 영통구,70대,F,소매/유통,29420930160,2
41117,수원시 영통구,70대,F,식사,9277871840,3
41117,수원시 영통구,70대,F,생활서비스,8238847096,4
41117,수원시 영통구,70대,F,전자상거래,4625252826,5
41117,수원시 영통구,70대,M,의료/건강,33875932911,1
41117,수원시 영통구,70대,M,소매/유통,26412600781,2
41117,수원시 영통구,70대,M,식사,15490664574,3
41117,수원시 영통구,70대,M,생활서비스,13503021437,4
41117,수원시 영통구,70대,M,전자상거래,3614490729,5
41117,수원시 영통구,80대,F,의료/건강,10805999776,1
41117,수원시 영통구,80대,F,소매/유통,8576309550,2
41117,수원시 영통구,80대,F,식사,2521526314,3
41117,수원시 영통구,80대,F,생활서비스,1913553891,4
41117,수원시 영통구,80대,F,전자상거래,846309819,5
41117,수원시 영통구,80대,M,의료/건강,12344544817,1
41117,수원시 영통구,80대,M,소매/유통,6752726028,2
41117,수원시 영통구,80대,M,식사,3333963988,3
41117,수원시 영통구,80대,M,생활서비스,2964292183,4
41117,수원시 영통구,80대,M,전자상거래,779084705,5
41117,수원시 영통구,90대,F,의료/건강,2823781555,1
41117,수원시 영통구,90대,F,소매/유통,1996342770,2
41117,수원시 영통구,90대,F,식사,769236410,3
41117,수원시 영통구,90대,F,생활서비스,348586359,4
41117,수원시 영통구,90대,F,전자상거래,264439442,5
41117,수원시 영통구,90대,M,의료/건강,3597939226,1
41117,수원시 영통구,90대,M,소매/유통,1825702404,2
41117,수원시 영통구,90대,M,식사,888669480,3
41117,수원시 영통구,90대,M,생활서비스,542539136,4
41117,수원시 영통구,90대,M,전자상거래,214048753,5
